id,retweet_count,favorite_count
685307451701334016,395,1920
685268753634967552,1070,2832
685198997565345792,588,2136
685169283572338688,1272,3776
684969860808454144,326,2215
684959798585110529,2806,6284
684940049151070208,944,2962
684926975086034944,417,3213
684914660081053696,1320,3212
684902183876321280,463,1717
684880619965411328,722,1918
684830982659280897,19621,32286
684800227459624960,899,2513
684594889858887680,3164,8164
684588130326986752,1274,3803
684567543613382656,1101,2753
684538444857667585,853,2432
684481074559381504,1069,3558
684460069371654144,502,1812
684241637099323392,2941,7466
684225744407494656,183,1138
684222868335505415,1238,3508
684200372118904832,944,1981
684195085588783105,454,1759
684188786104872960,1046,3214
684177701129875456,592,1864
684147889187209216,1367,2736
684122891630342144,425,1859
684097758874210310,1294,3780
683857920510050305,1017,3509
683852578183077888,315,1789
683849932751646720,850,2411
683834909291606017,1017,2407
683828599284170753,970,2581
683773439333797890,1218,3067
683742671509258241,2993,5962
683515932363329536,2607,6775
683498322573824003,872,2925
683481228088049664,901,2443
683462770029932544,620,2238
683449695444799489,1455,3572
683391852557561860,2172,7035
683357973142474752,822,2664
683142553609318400,931,2640
683111407806746624,814,3139
683098815881154561,587,1994
683078886620553216,517,1854
683030066213818368,666,1996
682962037429899265,14830,33696
682808988178739200,154,1626
682788441537560576,1016,2276
682750546109968385,398,1400
682697186228989953,333,1213
682662431982772225,987,2808
682638830361513985,534,1902
682429480204398592,1042,3175
682406705142087680,1584,6952
682393905736888321,595,2066
682389078323662849,423,1535
682303737705140231,883,2813
682259524040966145,1077,3798
682242692827447297,1036,2960
682088079302213632,8847,16735
682059653698686977,1525,4532
682047327939461121,846,2947
682032003584274432,1788,6044
682003177596559360,1365,2856
681981167097122816,917,2591
681891461017812993,744,2266
681694085539872773,3680,11780
681679526984871937,399,1628
681654059175129088,819,2412
681610798867845120,416,1725
681579835668455424,1174,3244
681523177663676416,5187,13138
681340665377193984,246,1516
681339448655802368,3692,8544
681320187870711809,671,2404
681302363064414209,1618,3592
681297372102656000,852,2953
681281657291280384,993,2957
681261549936340994,235,1331
681242418453299201,469,1352
681231109724700672,436,2231
681193455364796417,1332,3406
680970795137544192,583,2204
680959110691590145,1817,4205
680940246314430465,935,2921
680934982542561280,391,1908
680913438424612864,562,2209
680889648562991104,323,1610
680836378243002368,1182,3178
680805554198020098,607,1972
680801747103793152,739,2182
680798457301471234,937,2600
680609293079592961,622,2408
680583894916304897,1186,3294
680497766108381184,1728,3882
680494726643068929,438,1571
680473011644985345,668,2341
680440374763077632,438,1320
680221482581123072,260,1356
680206703334408192,1041,2579
680191257256136705,441,1973
680176173301628928,1390,3551
680161097740095489,669,2135
680145970311643136,1556,3307
680130881361686529,854,2110
680115823365742593,822,2491
680100725817409536,1244,3295
680085611152338944,8122,11709
680070545539371008,771,2380
679877062409191424,575,1788
679872969355714560,595,2011
679862121895714818,554,2245
679854723806179328,1098,2608
679844490799091713,686,2183
679828447187857408,12538,33064
679777920601223168,992,2853
679736210798047232,713,1908
679729593985699840,746,1990
679722016581222400,425,1536
679530280114372609,1877,4360
679527802031484928,648,2420
679511351870550016,1143,3065
679503373272485890,1331,2905
679475951516934144,578,1915
679462823135686656,16939,29308
679405845277462528,1071,2155
679158373988876288,7216,19368
679148763231985668,919,2550
679132435750195208,1033,2695
679111216690831360,2303,5416
679062614270468097,7180,15450
679047485189439488,585,2054
679001094530465792,1092,2588
678991772295516161,1014,2062
678969228704284672,408,1499
678800283649069056,817,2348
678798276842360832,1024,3156
678774928607469569,819,2569
678767140346941444,1222,3215
678764513869611008,413,1477
678755239630127104,2918,6466
678740035362037760,1484,3381
678708137298427904,2178,5112
678675843183484930,1313,2595
678643457146150913,359,1875
678446151570427904,1370,3648
678424312106393600,2265,4986
678410210315247616,1607,3815
678399652199309312,28466,73223
678396796259975168,373,1452
678389028614488064,380,1709
678380236862578688,821,2231
678341075375947776,472,1572
678334497360859136,222,1180
678278586130948096,5472,10385
678255464182861824,327,1446
678023323247357953,340,1739
678021115718029313,5606,12337
677961670166224897,1521,3130
677918531514703872,364,1215
677895101218201600,1836,4383
677716515794329600,874,2782
677700003327029250,1286,3105
677698403548192770,286,1117
677687604918272002,752,2251
677673981332312066,1345,3025
677662372920729601,840,1771
677644091929329666,725,1705
677573743309385728,598,1932
677565715327688705,409,1188
677557565589463040,1012,2214
677547928504967168,3284,6305
677530072887205888,204,964
677335745548390400,1546,2756
677334615166730240,250,1224
677331501395156992,207,986
677328882937298944,1338,3326
677314812125323265,469,1496
